image_name,pothole_id,area_px,perimeter_px,centroid_x_px,centroid_y_px,aabb_x,aabb_y,aabb_w_px,aabb_h_px,minrect_center_x_px,minrect_center_y_px,minrect_width_px,minrect_length_px,minrect_angle_deg,area_m2,perimeter_m,aabb_w_m,aabb_h_m,minrect_width_m,minrect_length_m
1.jpg,1,4628.0,345.56348860263824,55.21949726303659,356.3215571881302,4,314,95.0,77.0,54.839447021484375,350.2018737792969,76.91345977783203,92.33446502685547,-73.3007583618164,,,,,,
10.jpg,1,4349.5,348.4335458278656,109.09388052266543,50.12986166992374,65,10,95.0,79.0,108.16606140136719,56.963897705078125,74.50437927246094,92.04895782470703,-57.264774322509766,,,,,,
100.jpg,1,12855.0,531.3624782562256,335.40849215610007,218.0437443277583,258,162,142.0,126.0,331.46173095703125,221.49705505371094,121.79403686523438,144.57290649414062,-85.6012954711914,,,,,,
101.jpg,1,8981.0,443.98989403247833,213.80165534647216,85.71669821474966,171,10,95.0,146.0,212.9927215576172,84.58384704589844,87.49641418457031,140.9849090576172,-75.5792236328125,,,,,,
102.jpg,1,12861.0,526.8771970272064,161.00453567633414,335.38255190109635,92,258,126.0,142.0,157.5029296875,331.46173095703125,121.79403686523438,144.57290649414062,-85.6012954711914,,,,,,
103.jpg,1,8983.5,443.40410792827606,313.2773974508822,228.79490176434575,244,186,146.0,95.0,314.4161376953125,227.99270629882812,87.49641418457031,140.9849090576172,-75.5792236328125,,,,,,
104.jpg,1,5770.0,356.0487710237503,222.91409589832466,108.4662333911034,189,48,76.0,117.0,222.29412841796875,107.82353210449219,70.3353271484375,113.50666046142578,-75.96375274658203,,,,,,
105.jpg,1,8982.0,443.98989403247833,155.2024975877681,313.280598233504,104,244,95.0,146.0,156.0072784423828,314.4161376953125,87.49641418457031,140.9849090576172,-75.5792236328125,,,,,,
106.jpg,1,19779.0,683.5878740549088,137.371302897012,57.15843402935773,45,0,204.0,126.0,146.5,62.5,125.0,203.0,-90.0,,,,,,
107.jpg,1,11424.5,535.6883789300919,91.52709819539876,245.4522006798255,41,163,104.0,154.0,92.8469467163086,240.62054443359375,101.20243072509766,154.80410766601562,-3.532294511795044,,,,,,
108.jpg,1,11430.0,535.9310195446014,153.50498687664043,76.49333624963546,83,25,154.0,105.0,158.1236572265625,77.46094512939453,101.78260803222656,154.9811248779297,-4.134671211242676,,,,,,
109.jpg,1,7347.0,422.190905213356,101.19738215144503,236.24025679415632,60,170,84.0,124.0,101.9569091796875,232.6226043701172,81.3558578491211,124.59382629394531,-4.267893314361572,,,,,,
11.jpg,1,4500.0,341.22034311294556,232.03122222222223,50.065814814814814,186,9,95.0,81.0,228.48971557617188,46.273189544677734,78.83179473876953,85.58059692382812,-21.037511825561523,,,,,,
110.jpg,1,11428.0,534.274165391922,337.4534914245712,153.58658557927896,285,83,104.0,154.0,336.0863037109375,158.2081298828125,100.88581848144531,155.0335693359375,-4.085616588592529,,,,,,
111.jpg,1,6623.0,396.24978029727936,350.8991645276561,297.707635009311,290,256,110.0,84.0,346.86920166015625,297.453857421875,80.0024185180664,112.25144958496094,-7.125016212463379,,,,,,
112.jpg,1,7077.0,557.7300091981888,274.6362865621026,78.44435024256983,210,0,135.0,162.0,276.6830749511719,79.41265106201172,57.730342864990234,200.7727508544922,-25.504140853881836,,,,,,
112.jpg,2,3635.5,349.66399359703064,26.108971714115434,225.39251822307799,0,174,68.0,103.0,21.953205108642578,222.5817413330078,59.46555709838867,105.03929901123047,-22.328655242919922,,,,,,
113.jpg,1,6406.5,516.031524181366,328.0814537318868,278.4002965737922,253,222,147.0,123.0,326.14617919921875,280.71014404296875,57.730342864990234,182.06752014160156,-25.504140853881836,,,,,,
113.jpg,2,3630.0,350.2497800588608,188.5714416896235,26.106014692378327,138,0,103.0,68.0,191.34613037109375,21.777488708496094,59.84547805786133,105.03929901123047,-22.328657150268555,,,,,,
114.jpg,1,4758.5,468.37466967105865,258.0551294175335,87.9987741234983,206,19,110.0,139.0,259.64349365234375,88.12590026855469,46.22803497314453,168.41000366210938,-25.53743553161621,,,,,,
